rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence
5,BEAR,BDC,3.33,0.9812,2023-12-07,33.0914,2.971,0.542,0.0065,1.1005,1.0,0.0,0.0,0.65,-0.65
6,BEAR,BOX,3.33,0.9788,2023-12-07,26.5159,-1.7583,0.9968,-0.1318,0.8317,1.0,0.0,0.0,0.8,-0.8
7,BEAR,BJ,3.33,0.9728,2023-12-07,18.5055,-2.2128,0.7922,-0.0982,0.4585,1.0,0.0,0.0,0.5333,-0.5333
8,BEAR,SUPN,3.33,0.9726,2023-12-07,17.91,4.1105,0.8292,0.0742,0.5197,1.0,0.0,0.0,0.65,-0.65
9,BEAR,PYPL,3.33,0.9676,2023-12-07,26.5259,2.0452,0.9866,-0.0388,1.3369,1.0,0.0,0.0,0.5833,-0.5833
10,BEAR,CPT,3.33,0.9643,2023-12-07,19.131,2.8804,0.754,-0.0145,0.9716,1.0,0.0,0.0,0.5,-0.5
11,BEAR,HAS,3.33,0.9639,2023-12-07,26.2089,3.3212,0.6805,0.0089,0.9554,1.0,0.0,0.0,0.65,-0.65
12,BEAR,IQV,3.33,0.9608,2023-12-07,20.3433,3.2396,0.7517,-0.0002,1.0688,1.0,0.0,0.0,0.2333,-0.2333
13,BEAR,XRAY,3.33,0.9602,2023-12-07,24.0738,5.8833,0.7538,0.0862,0.5068,1.0,0.0,0.0,0.9167,-0.8333
14,BEAR,PII,3.33,0.9568,2023-12-07,20.0406,0.3612,0.9831,-0.0799,1.1122,1.0,0.0,0.0,0.65,-0.65
15,BEAR,NABL,3.33,0.9535,2023-12-07,25.8739,-3.5262,0.6868,-0.1845,0.8144,1.0,0.0,0.0,0.4,-0.4
16,BEAR,J,3.33,0.9526,2023-12-07,19.3042,-1.3874,0.7965,-0.1121,0.6366,1.0,0.0,0.0,0.325,-0.325
17,BEAR,ABR,3.33,0.9515,2023-12-07,16.9953,1.782,0.9078,-0.0268,1.2001,1.0,0.0,0.0,0.175,-0.175
18,BEAR,KRYS,3.33,0.9515,2023-12-07,19.9387,0.26,0.7187,-0.0625,0.4878,1.0,0.0,0.0,0.25,-0.25
19,BEAR,JAZZ,3.33,0.9503,2023-12-07,29.6421,-2.3943,0.8346,-0.1439,0.6139,1.0,0.0,0.0,0.4,-0.4
20,BEAR,RVTY,3.33,0.9481,2023-12-07,17.4362,2.6533,0.6537,-0.0005,0.4138,1.0,0.0,0.0,0.65,-0.65
21,BEAR,VYX,3.33,0.9458,2023-12-07,14.1052,-1.8089,0.8116,-0.1403,1.0571,1.0,0.0,0.0,0.4,-0.4
22,BEAR,JBL,3.33,0.9434,2023-12-07,24.5159,-2.6869,0.8954,-0.1638,1.2914,1.0,0.0,0.0,0.25,-0.25
23,BEAR,RRC,3.33,0.9413,2023-12-07,27.5927,-3.2156,0.8901,-0.0871,0.4979,1.0,0.0,0.0,0.325,-0.325
24,BEAR,OGS,3.33,0.9413,2023-12-07,29.6682,1.3065,0.9567,-0.0181,0.3875,1.0,0.0,0.2333,0.65,-0.4167
25,BEAR,SANM,3.33,0.938,2023-12-07,26.1345,1.8349,0.6549,-0.0359,0.6867,1.0,0.0,0.0,0.4,-0.4
26,BEAR,SEM,3.33,0.9363,2023-12-07,17.1888,2.2273,0.768,-0.0135,0.6262,1.0,0.0,0.0,0.325,-0.325
27,BEAR,WHR,3.33,0.9362,2023-12-07,18.1561,0.1469,0.7121,-0.0876,1.5175,1.0,0.0,0.0,0.9167,-0.8333
28,BEAR,CNH,3.33,0.9323,2023-12-07,22.7842,2.2293,0.8361,-0.0162,0.6752,1.0,0.0,0.0,0.325,-0.325
29,BEAR,ENR,3.33,0.9308,2023-12-07,11.4382,-2.8246,0.7521,-0.1223,0.7381,1.0,0.0,0.0,0.1333,-0.1333
30,BEAR,BWA,3.33,0.9305,2023-12-07,26.4392,0.8441,0.7206,-0.0679,0.3227,1.0,0.0,0.0,0.8,-0.8
